spot_name,availability,lat,lon
"COLLINS AVENUE - The Gourmet Kitchen,404 Collins Avenue",3,54.1269,-6.13661333333332
"COLLINS AVENUE - Rimini Take Away, 392 Collins Avenue",1,54.1253899999999,-6.1339
COLLINS AVENUE EAST - Opposite 36 Collins Avenue East,5,54.03033,-5.98977333333333
"COLLINS AVENUE EAST - Pure Pharmacy, 59 Collins Avenue East",3,54.0328599999999,-5.99226666666666
COLLINS AVENUE EXTENSION - Dublin City University,5,54.18358,-6.20616
COLLINS AVENUE EXTENSION - Dublin City University,3,54.18439,-6.20707333333333
COLLINS AVENUE EXTENSION - Dublin City University,5,54.1847,-6.20743999999999
"CORNMARKET - MRCB Paints & Papers, 12 Cornmarket",4,53.69488,-6.2824
COWPER ROAD - Opposite 43 Cowper Road,0,53.3970099999999,-6.18886666666666
COWPER ROAD - The Mageough,3,53.39774,-6.18280666666666
COWPER ROAD - The Mageough,3,53.39778,-6.18252666666666
CUFFE LANE - Junction with Cuffe Street,2,53.6356,-6.22800666666666
CUFFE LANE - Junction with Cuffe Street,2,53.6361,-6.22802
"D'OLIER STREET - Kohinoor Beauty, 8 Dolier Street",4,53.73233,-6.20508666666666
"D'OLIER STREET - Platinum, 9 Dolier Street",4,53.73188,-6.2048
"DONNYBROOK ROAD - Eddie Rockets, The Mall, Donnybrook Road",3,53.4666999999999,-6.10826666666666
"DRUMCONDRA ROAD LOWER - AIB Bank, 140 Drumcondra Road Lower",4,53.96581,-6.19723333333333
"DRUMCONDRA ROAD UPPER - Domino's, 106 Drumcondra Road Upper",2,54.0199999999999,-6.18526666666666
"DRUMFINN PARK - Ballyfermot / Chapelizod Partnership, 4 Drumfinn Park",4,53.6922,-6.65312
DUNNE STREET - Saint Agatha's Church,4,53.8532199999999,-6.15513333333333
DUNNE STREET - Saint Agatha's Church,4,53.85278,-6.15534666666666
"EARL STREET SOUTH - Health Centre, 33-35 Earl Street South",5,53.67429,-6.30117999999999
"EARL STREET SOUTH - Health Centre, 33-35 Earl Street South",0,53.67433,-6.30081333333333
"EAST ROAD - Centra, Island Key",3,53.81648,-6.08504666666666
EATON ROAD - 4 Eaton Road,5,53.34398,-6.31463333333333
ECCLES PLACE - Junction with Dorset Street Lower,3,53.8623099999999,-6.23022666666666
ECCLES PLACE - Junction with Dorset Street Lower,1,53.86258,-6.23051333333333
ECCLES STREET - Mater Hospital,1,53.87036,-6.25363999999999
ECCLES STREET - Mater Hospital,0,53.87024,-6.25347333333333
