spot_name,availability,lat,lon
SHELBOURNE ROAD - Ballsbridge College of Further Education,5,53.5522999999999,-6.08492
SIR JOHN ROGERSON'S QUAY - 56 Sir John Rogerson's Quay,1,53.7293199999999,-6.10923333333333
"SMITHFIELD - Maldron Hotel, Smithfield",4,53.7638899999999,-6.29389333333333
SMITHFIELD - Phoenix House,0,53.7359599999999,-6.29447333333333
SOUTH CIRCULAR ROAD - 684 South Circular Road,5,53.6450599999999,-6.41393999999999
SOUTH CIRCULAR ROAD - Rialto Parish Church,0,53.60763,-6.37273999999999
"SOUTH CIRCULAR ROAD - Haven Pharmacy, 449 South Circular Road",1,53.6106999999999,-6.38061333333333
SPERRIN ROAD - Saint John Bosco Youth Centre,5,53.5974,-6.46626
STANNAWAY DRIVE - Cashel Business Centre,1,53.4048199999999,-6.38865333333333
STANNAWAY DRIVE - Cashel Business Centre,3,53.4043499999999,-6.38842
STEPHEN STREET LOWER - Opposite The Grafton Hotel,4,53.67248,-6.22842666666666
STEPHEN STREET LOWER - Opposite The Grafton Hotel,5,53.67223,-6.22814666666666
STEPHEN STREET LOWER - Mercer's Medical Centre,5,53.6701199999999,-6.22763999999999
"STRAND STREET GREAT - Opposite Penny Lane CafÃÂ©, 2 Great Strand Street",3,53.7328099999999,-6.24610666666666
STRAND STREET GREAT - 55 Strand Street Great,1,53.73715,-6.23562
STRAND STREET GREAT - 54 Strand Street Great,1,53.7374499999999,-6.23488666666666
STRAND STREET GREAT - 53 Strand Street Great,0,53.73761,-6.23449333333333
STRAND STREET LITTLE - 31 Strand Street Little,0,53.7303499999999,-6.25233333333333
"SUNDRIVE ROAD - Sundrive Credit Union, 116 Sundrive Road",3,53.47033,-6.36578666666666
SUSSEX ROAD - 3 Sussex Road,0,53.56023,-6.17143999999999
TALBOT STREET - 11 Talbot Street,4,53.7789199999999,-6.19463999999999
TALBOT STREET - 12 Talbot Street,4,53.77909,-6.19423999999999
TALBOT STREET - 13 Talbot Street,3,53.7792599999999,-6.19386666666666
"TALBOT STREET - Indepndent House, 27 Talbot Street",0,53.78433,-6.1823
"TALBOT STREET - Indepndent House, 27 Talbot Street",0,53.78444,-6.18204666666666
TEMPLE ROAD - Saint Philip's Church,0,53.34039,-6.19586666666666
TERENURE PARK - 40 Terenure Park,2,53.3276199999999,-6.32292
"TERENURE ROAD EAST - O'Connell's Pharmacy, 3 Terenure Road East",2,53.3448,-6.27293333333333
"THORNCASTLE STREET - Corcoran Solicitors, 12 Thorncastle Street",5,53.69003,-6.06866666666666
"TOWNSEND STREET - Georges Court, 54-62 Townsend Street",0,53.726,-6.17267333333333
TOWNSEND STREET - 88 Townsend Street,2,53.72093,-6.15526666666666
VERSCHOYLE PLACE - Junction with Stephen's Place,2,53.64788,-6.14728666666667
WATERLOO ROAD - 37 Waterloo Road,1,53.5601599999999,-6.14105333333333
WATERLOO ROAD - 35 Waterloo Road,1,53.56064,-6.14097333333333
WILLIAMS PARK - 1 Williams Park,3,53.49055,-6.24132666666666
WILLIAMS PARK - Swan Leisure,3,53.49449,-6.23364666666666
WILLIAMS PARK - Swan Leisure,5,53.4944199999999,-6.2333
WINTON ROAD - Opposite 12 Winton Road,0,53.5206699999999,-6.1633
WOLFE TONE STREET - Wolfe Tone Park,4,53.7520599999999,-6.24533333333333
